section,celltype,module,design,basis,n,beta,se_iid,se_blk,se_ratio,ci_iid_lo,ci_iid_hi,ci_blk_lo,ci_blk_hi
7259_liver_sbr_Male_26-U1,Hepatocytes,il6_jak_stat3,ctrl,nearest,28529,0.002899943038472744,0.0012569957337979177,0.0015457496210437678,1.229717475948309,0.0004362314002288254,0.0053636546767166626,-0.0002227971479829078,0.005772572402329974
7259_liver_sbr_Male_26-U1,Hepatocytes,il6_jak_stat3,ctrl,superposition,28529,0.000388609956043209,6.990055761165615e-05,0.0001416612318679299,2.0266108985131672,0.00025160486312436294,0.000525615048962055,8.815700676014418e-05,0.0006243860936946692
7259_liver_sbr_Male_26-U1,Hepatocytes,il6_jak_stat3,naive,nearest,28529,0.009890121534666821,0.0012097321628542967,0.0027482877408105096,2.2718150555955092,0.0075190464954724,0.012261196573861242,0.004563967486730344,0.015637352567480858
7259_liver_sbr_Male_26-U1,Hepatocytes,il6_jak_stat3,naive,superposition,28529,0.0006847216228589891,5.254953442839602e-05,0.00022516864641872224,4.284883755260229,0.0005817245353793329,0.0007877187103386453,0.00027252397180058704,0.0011510276597397886
7259_liver_sbr_Male_26-U1,Hepatocytes,interferon_response,ctrl,nearest,28529,-0.0016050772740623018,0.0006370523012425517,0.0007904408116341353,1.2407785202131818,-0.0028536997844977032,-0.0003564547636269006,-0.0032874680611144637,-0.00024785635980775517
7259_liver_sbr_Male_26-U1,Hepatocytes,interferon_response,ctrl,superposition,28529,0.00017870937994401357,6.344983283699275e-05,0.00013706777011152289,2.1602542352421947,5.434770758350779e-05,0.00030307105230451936,-0.0001302818314295701,0.00042914740581809246
7259_liver_sbr_Male_26-U1,Hepatocytes,interferon_response,naive,nearest,28529,0.008894888368903344,0.0011111655004941634,0.0028142573040051246,2.532707596441352,0.0067170039879347835,0.011072772749871904,0.003285693282338633,0.014088158694515058
7259_liver_sbr_Male_26-U1,Hepatocytes,interferon_response,naive,superposition,28529,0.0007426561273227862,5.5706718418687704e-05,0.00028284692120335975,5.077429244305912,0.0006334709592221583,0.000851841295423414,0.00018772600105981924,0.0012724788890070167
7259_liver_sbr_Male_26-U1,Hepatocytes,oxidative_stress,ctrl,nearest,28529,-0.0011826753320214648,0.0015624657711148084,0.0015496423213000716,0.9917928123279223,-0.004245108243406489,0.0018797575793635594,-0.003819723535793342,0.002133630852329382
7259_liver_sbr_Male_26-U1,Hepatocytes,oxidative_stress,ctrl,superposition,28529,-0.0007262536658318226,0.00015671474831811027,0.0002701985698457827,1.724142575894103,-0.0010334145725353187,-0.0004190927591283264,-0.0012490921021948715,-0.00019511769441609263
7259_liver_sbr_Male_26-U1,Hepatocytes,oxidative_stress,naive,nearest,28529,-0.018369466214324868,0.0027629888325824254,0.0035818573101711586,1.2963705346660335,-0.02378492432618642,-0.012954008102463315,-0.024824754085984207,-0.010950187095621873
7259_liver_sbr_Male_26-U1,Hepatocytes,oxidative_stress,naive,superposition,28529,-0.0011353246051932578,0.00012014250298134725,0.00036441167617190393,3.0331620128513617,-0.0013708039110366984,-0.0008998452993498171,-0.0018064329927852856,-0.0003839346135820429
