gene,corr_zonation,detection_rate
Bhlhe40,-0.069111526,0.3301464018629127
Bhmt,0.16179593,0.9524352236831923
Bicd2,0.008585176,0.06609541095938597
Bid,-0.020483008,0.04956276425852838
Bin1,-0.0007551344,0.07220193748548996
Birc2,-0.0037979337,0.018600986330667004
Birc3,-0.026285207,0.036927601077787864
Birc5,-0.008712139,0.006226124395854879
Blk,-0.0013985446,0.0006964817120786814
Blmh,0.0328263,0.07562102952660349
Blnk,-0.01911982,0.026543691915887523
Bloc1s5,0.003353252,0.03736378154393815
Bloc1s6,-0.001251909,0.010552753213313353
Bmf,-0.0010533594,0.011762802248439952
Bmi1,0.023859557,0.1597053671302843
Bmp1,-0.031350374,0.41952118641086794
Bmp10,-0.0009966634,0.01427435751320853
Bmp15,0.0023645381,0.0001547737137952625
Bmp2,-0.03743977,0.06382305143411916
Bmp3,0.0067299125,0.00039396945329703184
Bmp4,-0.0059998473,0.004432156349591609
Bmp5,-0.0040695844,0.027240173627966203
Bmp6,-0.01519692,0.029681377204646024
Bmp7,0.019629017,0.0013296469048774825
Bmp8b,-0.0004936715,0.0002462309083106449
Bmpr1a,0.0028281359,0.06895168949578945
Bmpr1b,0.0012650819,0.0008934664387271972
Bmpr2,-0.03108906,0.2455133210921396
Bnc1,0.009358145,0.00019698472664851592
Bnc2,0.007805298,0.0007035168808875569
Bnip3,0.059310302,0.4494699000302512
Boc,0.0014358952,0.0003165825963994006
Borcs8,0.017436882,0.09935768908774965
Bpifb1,-0.003472008,0.00012663303855976025
Braf,-0.0039034018,0.049400955375924246
Brca1,-0.0017600014,0.004917582997404022
Brca1_del_ex5-6_ALT_inv,-0.0050663548,0.0010482401525224597
Brca1_ex1-4_ex7-23_WT,0.0003682054,0.005016075360728281
Brca2,0.0064652096,0.0052412007626122985
Brcc3,0.010108044,0.040825084597904925
Brd2,-0.005587479,0.2695947039249207
Brd4,0.005386185,0.15235361572500933
Brd7,0.009488758,0.1208290242924379
Brd8,-0.0025671802,0.04151453114117473
Brip1,0.0060340706,0.007710545014527624
Brpf1,-0.0015310475,0.06326023792940912
Brpf3,0.006773876,0.11207023912538781
Brs3,0.0021418913,0.00010552753213313353
Brsk2,0.0026670287,0.00014773854498638695
